Call_ID,Timestamp,Agent_ID,Team,Supervisor_ID,IVR_Path,Duration,Resolved,Transferred,Customer_Utterance,Customer_ID,Sentiment,Escalation,Bot_Failure_Reason
C0015,2025-04-25 01:14:54.478459,A107,Team_1,S11,Start>TechSupport>Agent,147,False,True,My internet isn’t working,CUST9727,neutral,True,
C0016,2025-04-01 16:37:34.481784,A117,Team_2,S12,Start>Agent,681,False,True,I want to update my account details,CUST9835,neutral,True,
C0017,2025-04-18 00:53:15.542243,A112,Team_3,S13,Start>Agent,522,True,True,I want to update my account details,CUST4681,positive,True,
C0018,2025-04-28 15:52:45.056340,A118,Team_2,S10,Start>TechSupport>Agent,784,True,True,I want to update my account details,CUST2104,negative,False,
C0019,2025-04-14 23:47:26.839675,A116,Team_2,S12,Start>Sales,279,True,False,Where is my refund?,CUST8744,positive,False,ambiguous_query
C0020,2025-04-19 13:47:46.366588,A106,Team_1,S10,Start>Sales>Agent,422,False,True,How do I change my plan?,CUST8651,negative,True,
C0021,2025-04-16 14:01:51.555468,A101,Team_4,S12,Start>TechSupport>Agent,314,True,True,I want to update my account details,CUST9786,neutral,False,
C0022,2025-04-14 11:07:37.923256,A108,Team_4,S11,Start>TechSupport>Agent,513,True,True,I need help with my bill,CUST9856,negative,True,
C0023,2025-04-21 04:31:19.437015,A105,Team_4,S13,Start>Sales,278,False,False,I need help with my bill,CUST3697,positive,False,complex_request
C0024,2025-04-04 23:20:38.859347,A129,Team_4,S12,Start>Sales>Agent,773,False,True,What is this extra charge?,CUST4111,positive,True,
C0025,2025-04-29 05:28:00.394432,A123,Team_3,S10,Start>Billing>Agent,658,False,True,My service is down,CUST9701,positive,True,
C0026,2025-04-25 00:09:20.386710,A102,Team_5,S10,Start>TechSupport,473,True,False,Where is my refund?,CUST5033,neutral,True,
C0027,2025-04-30 18:37:31.820451,A102,Team_4,S14,Start>Agent,383,False,True,I want to update my account details,CUST6147,positive,False,
C0028,2025-04-08 04:05:34.659502,A121,Team_3,S13,Start>Account,829,True,False,I need help with my bill,CUST8508,neutral,True,no_match
C0029,2025-04-25 11:36:18.697658,A117,Team_2,S14,Start>Account>Agent,195,False,True,My internet isn’t working,CUST5002,positive,True,
C0030,2025-04-25 18:09:48.387028,A126,Team_5,S12,Start>Agent,68,False,True,My internet isn’t working,CUST3200,positive,True,
C0031,2025-04-13 07:39:23.783375,A108,Team_3,S14,Start>TechSupport,794,False,False,I want to update my account details,CUST5325,neutral,False,no_match
C0032,2025-04-03 19:13:53.477017,A102,Team_4,S12,Start>Billing>Agent,63,False,True,What is this extra charge?,CUST5291,positive,False,
C0033,2025-04-15 09:45:44.759578,A117,Team_1,S10,Start>TechSupport>Agent,767,True,True,My service is down,CUST1590,negative,True,
C0034,2025-04-15 20:20:55.410968,A104,Team_1,S12,Start>Account,875,True,False,I want to talk to a human,CUST4441,neutral,True,complex_request
C0035,2025-04-26 08:26:27.659461,A124,Team_5,S13,Start>Billing,302,True,False,What is this extra charge?,CUST7755,positive,False,ambiguous_query
C0036,2025-04-04 00:24:03.887588,A125,Team_2,S12,Start>Billing,866,True,False,How do I change my plan?,CUST1634,negative,True,no_input
C0037,2025-04-29 11:13:07.968510,A126,Team_4,S12,Start>Account>Agent,900,True,True,I want to update my account details,CUST1387,neutral,False,
C0038,2025-04-21 00:23:10.878859,A108,Team_1,S12,Start>Account,716,False,False,My service is down,CUST6425,negative,True,complex_request
C0039,2025-04-14 21:50:27.737087,A105,Team_5,S12,Start>Billing>Agent,171,False,True,I want to talk to a human,CUST6139,neutral,True,
C0040,2025-04-21 18:08:17.552189,A128,Team_5,S11,Start>Account>Agent,105,False,True,I need help with my bill,CUST9518,negative,True,
C0041,2025-04-17 20:47:17.656164,A113,Team_1,S12,Start>Account,739,True,False,I can't log in,CUST9308,positive,False,complex_request
C0042,2025-04-17 04:07:01.436840,A112,Team_3,S14,Start>Billing,256,False,False,How do I change my plan?,CUST3851,neutral,False,ambiguous_query
C0043,2025-04-30 06:04:21.397180,A117,Team_1,S12,Start>Account>Agent,275,False,True,Where is my refund?,CUST6279,neutral,False,
C0044,2025-04-22 11:00:47.752713,A116,Team_4,S11,Start>TechSupport>Agent,350,False,True,My internet isn’t working,CUST4848,neutral,True,
C0045,2025-04-12 20:38:06.685700,A104,Team_1,S10,Start>TechSupport,546,True,False,Can I cancel my service?,CUST7790,negative,True,ambiguous_query
C0046,2025-04-22 04:28:28.635434,A115,Team_4,S11,Start>Billing,731,True,False,My internet isn’t working,CUST7965,positive,False,no_match
C0047,2025-04-23 06:02:50.539353,A117,Team_2,S10,Start>Sales,196,False,False,My service is down,CUST6198,negative,False,
C0048,2025-04-11 18:58:47.086450,A126,Team_5,S13,Start>Agent,516,True,True,Can I cancel my service?,CUST8373,positive,True,
C0049,2025-04-09 05:33:51.316054,A124,Team_5,S13,Start>TechSupport,341,False,False,My internet isn’t working,CUST5681,positive,False,complex_request
C0050,2025-04-06 13:53:48.378765,A128,Team_5,S10,Start>Billing,214,True,False,How do I change my plan?,CUST3503,neutral,True,ambiguous_query
C0051,2025-04-12 07:45:19.846108,A113,Team_3,S14,Start>Sales,485,True,False,I want to update my account details,CUST7883,positive,True,
C0052,2025-04-21 15:02:10.489195,A112,Team_4,S10,Start>Account,365,False,False,How do I change my plan?,CUST9818,neutral,True,ambiguous_query
C0053,2025-04-26 12:33:43.435688,A107,Team_3,S13,Start>Sales,89,False,False,I want to talk to a human,CUST7624,neutral,False,no_input
C0054,2025-04-28 11:26:27.271494,A119,Team_5,S10,Start>Sales>Agent,666,True,True,My internet isn’t working,CUST8022,positive,False,
C0055,2025-04-22 14:55:50.863775,A101,Team_3,S13,Start>Account,276,False,False,I want to talk to a human,CUST6529,neutral,False,complex_request
C0056,2025-04-17 05:53:14.297565,A124,Team_4,S12,Start>TechSupport>Agent,541,True,True,My service is down,CUST1853,negative,False,
C0057,2025-04-06 04:50:54.210331,A120,Team_1,S10,Start>Billing>Agent,313,True,True,I need help with my bill,CUST3496,positive,False,
C0058,2025-04-29 15:30:45.740564,A118,Team_2,S13,Start>Account>Agent,845,False,True,What is this extra charge?,CUST2876,neutral,True,
C0059,2025-04-13 03:09:44.576940,A103,Team_5,S10,Start>Account>Agent,649,False,True,How do I change my plan?,CUST4249,positive,True,
C0060,2025-04-08 21:01:08.672991,A122,Team_3,S14,Start>TechSupport>Agent,875,True,True,I want to talk to a human,CUST9728,neutral,False,
C0061,2025-04-12 13:41:59.985994,A116,Team_3,S10,Start>Sales>Agent,561,True,True,How do I change my plan?,CUST6934,neutral,False,
C0062,2025-04-02 03:33:40.211847,A113,Team_2,S14,Start>Account>Agent,690,False,True,Can I cancel my service?,CUST8136,negative,False,
C0063,2025-04-01 14:26:27.941466,A127,Team_2,S10,Start>Account>Agent,521,True,True,Can I cancel my service?,CUST7209,positive,False,
C0064,2025-04-19 23:20:50.477532,A105,Team_4,S11,Start>Account,876,False,False,I want to talk to a human,CUST5581,negative,False,
C0065,2025-05-01 03:19:46.354661,A100,Team_5,S11,Start>TechSupport>Agent,307,False,True,Can I cancel my service?,CUST4937,neutral,False,
C0066,2025-04-03 06:38:59.386134,A125,Team_1,S10,Start>Account>Agent,286,False,True,I want to update my account details,CUST6016,neutral,False,
C0067,2025-04-26 17:21:15.371538,A117,Team_5,S12,Start>Sales>Agent,823,False,True,I want to talk to a human,CUST8434,positive,False,
C0068,2025-04-21 22:21:51.526483,A103,Team_2,S12,Start>TechSupport>Agent,820,True,True,I want to update my account details,CUST4545,neutral,False,
C0069,2025-04-19 03:57:08.606887,A103,Team_2,S12,Start>TechSupport,429,True,False,I can't log in,CUST1231,neutral,True,complex_request
C0070,2025-04-16 11:32:57.062030,A101,Team_1,S14,Start>Account>Agent,774,True,True,Can I cancel my service?,CUST2680,negative,False,
C0071,2025-04-14 12:17:57.018534,A115,Team_4,S12,Start>Billing,112,False,False,Can I cancel my service?,CUST2869,negative,False,ambiguous_query
C0072,2025-04-17 07:15:59.321002,A102,Team_5,S10,Start>Billing,212,False,False,My internet isn’t working,CUST5066,positive,False,
C0073,2025-04-10 11:41:12.065926,A119,Team_5,S11,Start>Agent,449,False,True,Can I cancel my service?,CUST5871,negative,False,
C0074,2025-04-22 14:59:05.723626,A118,Team_5,S10,Start>TechSupport>Agent,841,True,True,I want to update my account details,CUST5335,neutral,True,
C0075,2025-04-04 01:31:27.836509,A105,Team_5,S10,Start>Billing,62,False,False,Can I cancel my service?,CUST8699,positive,True,complex_request
C0076,2025-04-19 00:17:49.061569,A122,Team_3,S13,Start>TechSupport>Agent,763,True,True,I can't log in,CUST4241,neutral,True,
C0077,2025-04-12 23:31:59.508791,A129,Team_3,S11,Start>TechSupport>Agent,121,True,True,I can't log in,CUST5728,neutral,False,
C0078,2025-04-07 02:14:41.520074,A122,Team_4,S12,Start>Agent,612,False,True,Can I cancel my service?,CUST2317,neutral,False,
C0079,2025-04-13 09:39:49.876682,A119,Team_3,S10,Start>TechSupport>Agent,294,True,True,I can't log in,CUST1659,neutral,True,
C0080,2025-04-13 12:44:11.739658,A116,Team_4,S12,Start>Billing,659,False,False,Can I cancel my service?,CUST2494,neutral,False,complex_request
C0081,2025-04-04 21:44:53.254873,A110,Team_1,S11,Start>Account,481,False,False,I can't log in,CUST7561,negative,True,ambiguous_query
C0082,2025-04-06 22:25:00.677079,A102,Team_3,S12,Start>Account,178,False,False,My service is down,CUST1018,neutral,False,ambiguous_query
C0083,2025-04-17 10:38:29.221889,A101,Team_2,S14,Start>Account,697,False,False,Can I cancel my service?,CUST1845,positive,True,complex_request
C0084,2025-04-27 03:24:04.860391,A114,Team_4,S10,Start>Billing>Agent,705,True,True,What is this extra charge?,CUST6091,neutral,False,
C0085,2025-04-20 04:10:51.121500,A107,Team_1,S13,Start>TechSupport>Agent,723,True,True,Can I cancel my service?,CUST5781,neutral,False,
C0086,2025-04-06 18:17:35.663936,A126,Team_4,S13,Start>TechSupport,527,True,False,How do I change my plan?,CUST4122,negative,True,no_match
C0087,2025-04-14 17:11:33.897162,A108,Team_4,S12,Start>Agent,333,True,True,I can't log in,CUST5891,negative,False,
C0088,2025-04-06 11:45:59.608294,A114,Team_5,S13,Start>Account,400,False,False,Can I cancel my service?,CUST6272,negative,True,
C0089,2025-04-22 22:21:17.131629,A112,Team_2,S13,Start>Billing>Agent,385,False,True,How do I change my plan?,CUST7325,negative,True,
C0090,2025-04-22 01:55:23.152871,A101,Team_2,S14,Start>Account,162,False,False,My internet isn’t working,CUST9617,negative,True,no_input
C0091,2025-04-01 20:43:45.559628,A113,Team_2,S10,Start>Sales,860,False,False,I want to talk to a human,CUST7512,neutral,False,
C0092,2025-04-03 23:40:48.175631,A112,Team_3,S13,Start>Agent,96,True,True,I want to update my account details,CUST5708,negative,True,
C0093,2025-04-20 19:24:47.462966,A103,Team_1,S13,Start>Billing,770,False,False,I need help with my bill,CUST1753,positive,True,complex_request
C0094,2025-04-12 22:25:47.381756,A111,Team_3,S13,Start>Billing,310,False,False,Where is my refund?,CUST3950,positive,True,
C0095,2025-04-16 00:27:21.150493,A127,Team_4,S14,Start>TechSupport,569,True,False,I want to update my account details,CUST8555,neutral,False,complex_request
C0096,2025-04-09 00:48:53.893777,A121,Team_1,S13,Start>Account>Agent,753,True,True,My internet isn’t working,CUST8237,negative,False,
C0097,2025-04-18 15:41:39.844516,A122,Team_3,S13,Start>Account>Agent,263,False,True,Can I cancel my service?,CUST2747,positive,False,
C0098,2025-04-25 21:23:29.424563,A122,Team_3,S10,Start>Sales>Agent,341,True,True,Where is my refund?,CUST1803,negative,False,
C0099,2025-04-08 06:14:20.811988,A124,Team_2,S14,Start>Account,284,True,False,Where is my refund?,CUST5106,neutral,True,no_match
C0100,2025-04-13 00:17:17.738037,A128,Team_1,S12,Start>Sales,94,False,False,What is this extra charge?,CUST2476,negative,False,ambiguous_query
C0101,2025-04-10 21:50:42.697129,A105,Team_2,S11,Start>Agent,434,False,True,What is this extra charge?,CUST5210,negative,False,
C0102,2025-04-29 10:05:51.287555,A123,Team_3,S10,Start>Sales,137,True,False,I want to update my account details,CUST7511,negative,False,no_match
C0103,2025-04-22 22:41:45.051295,A125,Team_4,S10,Start>Account>Agent,609,True,True,Can I cancel my service?,CUST7038,neutral,False,
C0104,2025-04-10 20:14:58.152723,A126,Team_3,S10,Start>TechSupport,542,True,False,Where is my refund?,CUST6374,negative,True,no_match
C0105,2025-04-10 17:40:07.969166,A120,Team_4,S12,Start>Sales>Agent,179,True,True,I need help with my bill,CUST1609,positive,False,
C0106,2025-04-17 15:05:18.939826,A103,Team_2,S14,Start>Billing,457,False,False,I want to talk to a human,CUST9850,neutral,True,ambiguous_query
C0107,2025-04-28 02:15:05.291869,A120,Team_1,S13,Start>Sales>Agent,346,True,True,I want to talk to a human,CUST4559,neutral,True,
C0108,2025-04-23 10:09:07.249182,A103,Team_3,S14,Start>Account,122,False,False,I can't log in,CUST4109,negative,False,no_match
C0109,2025-04-23 10:49:45.464545,A121,Team_2,S14,Start>Billing>Agent,111,False,True,I want to update my account details,CUST3063,neutral,True,
C0110,2025-04-19 06:55:32.341391,A126,Team_5,S11,Start>TechSupport,892,True,False,I want to talk to a human,CUST3417,neutral,True,complex_request
C0111,2025-04-26 20:35:26.782502,A127,Team_2,S11,Start>Agent,316,True,True,My internet isn’t working,CUST1422,positive,False,
C0112,2025-04-09 02:45:03.507285,A118,Team_3,S10,Start>Billing,331,True,False,What is this extra charge?,CUST7897,neutral,True,ambiguous_query
C0113,2025-04-02 12:40:35.116620,A114,Team_3,S14,Start>TechSupport>Agent,522,True,True,Where is my refund?,CUST1710,neutral,False,
C0114,2025-04-26 11:19:51.306472,A120,Team_1,S10,Start>Sales,471,False,False,My internet isn’t working,CUST9032,neutral,False,no_match
C0115,2025-04-15 23:54:03.370804,A128,Team_1,S12,Start>Billing,127,True,False,I can't log in,CUST9984,neutral,False,
C0116,2025-04-28 06:27:41.761113,A116,Team_3,S13,Start>Agent,679,False,True,My internet isn’t working,CUST2874,negative,True,
C0117,2025-04-01 16:13:59.293030,A114,Team_2,S13,Start>Account,524,False,False,How do I change my plan?,CUST2557,positive,False,complex_request
C0118,2025-04-09 19:59:46.120164,A111,Team_2,S13,Start>TechSupport>Agent,153,True,True,My internet isn’t working,CUST8075,positive,False,
C0119,2025-04-01 07:46:31.557989,A117,Team_1,S14,Start>Agent,635,False,True,My internet isn’t working,CUST7730,positive,False,
C0120,2025-04-06 06:10:34.213055,A109,Team_5,S12,Start>Account,166,True,False,What is this extra charge?,CUST8900,positive,True,complex_request
C0121,2025-04-02 16:09:00.595482,A127,Team_5,S12,Start>TechSupport>Agent,840,False,True,Where is my refund?,CUST4705,negative,True,
C0122,2025-04-30 23:04:03.018782,A100,Team_2,S12,Start>Account>Agent,407,False,True,I need help with my bill,CUST3972,negative,False,
C0123,2025-04-11 08:58:07.678243,A104,Team_1,S10,Start>Agent,280,False,True,How do I change my plan?,CUST8432,positive,False,
C0124,2025-04-11 00:47:20.236233,A123,Team_3,S14,Start>TechSupport>Agent,113,True,True,What is this extra charge?,CUST1815,neutral,False,
C0125,2025-04-23 03:42:45.833063,A121,Team_4,S13,Start>Sales,484,False,False,I want to update my account details,CUST9394,positive,False,no_match
C0126,2025-04-27 12:00:46.877611,A109,Team_5,S13,Start>Agent,743,False,True,I need help with my bill,CUST4612,positive,True,
C0127,2025-04-02 13:46:57.085340,A106,Team_3,S11,Start>Billing,842,False,False,I can't log in,CUST6375,positive,False,ambiguous_query
C0128,2025-04-26 16:16:23.731706,A105,Team_2,S13,Start>Agent,780,True,True,My service is down,CUST6802,positive,True,
C0129,2025-04-18 04:52:43.487422,A100,Team_4,S10,Start>Account,649,False,False,Where is my refund?,CUST7626,neutral,False,complex_request
C0130,2025-04-09 10:59:55.155095,A103,Team_4,S10,Start>Account,235,False,False,I want to talk to a human,CUST2443,neutral,True,no_input
C0131,2025-04-20 11:50:52.599069,A113,Team_5,S13,Start>Agent,140,False,True,I can't log in,CUST6562,positive,True,
C0132,2025-04-23 14:09:48.305369,A116,Team_1,S14,Start>Agent,258,False,True,I want to talk to a human,CUST3419,positive,True,
C0133,2025-04-26 18:36:40.211174,A106,Team_2,S14,Start>Billing,838,True,False,What is this extra charge?,CUST9095,neutral,False,
C0134,2025-04-24 19:27:04.981751,A120,Team_5,S12,Start>Account,214,False,False,My internet isn’t working,CUST8682,neutral,False,complex_request
C0135,2025-04-18 07:56:00.496378,A118,Team_1,S12,Start>Agent,135,False,True,Can I cancel my service?,CUST8404,positive,False,
C0136,2025-04-18 21:14:02.866438,A102,Team_1,S14,Start>Agent,453,False,True,Where is my refund?,CUST1672,neutral,True,
C0137,2025-04-07 01:35:21.991976,A119,Team_4,S14,Start>Billing,123,False,False,My internet isn’t working,CUST6626,negative,True,
C0138,2025-04-06 01:01:38.268067,A120,Team_2,S10,Start>TechSupport,784,False,False,Can I cancel my service?,CUST9586,neutral,True,complex_request
C0139,2025-04-12 22:40:54.820295,A111,Team_3,S13,Start>Sales>Agent,853,False,True,Where is my refund?,CUST1857,neutral,False,
C0140,2025-04-12 08:21:03.761120,A110,Team_1,S14,Start>Sales>Agent,350,False,True,Where is my refund?,CUST3463,positive,True,
C0141,2025-04-24 04:43:22.387753,A109,Team_4,S11,Start>TechSupport>Agent,377,False,True,I want to talk to a human,CUST3093,neutral,True,
C0142,2025-04-28 08:42:32.254658,A116,Team_3,S10,Start>Account,376,True,False,I want to update my account details,CUST6598,negative,False,no_input
C0143,2025-04-22 21:02:57.955926,A107,Team_2,S11,Start>TechSupport>Agent,362,True,True,My service is down,CUST9843,negative,True,
C0144,2025-04-16 15:53:57.517160,A128,Team_5,S11,Start>Sales>Agent,217,True,True,What is this extra charge?,CUST3712,neutral,True,
C0145,2025-04-18 02:08:51.430714,A111,Team_2,S13,Start>Account>Agent,830,False,True,I want to update my account details,CUST9749,positive,False,
C0146,2025-04-06 07:33:09.413748,A111,Team_5,S13,Start>Sales,847,False,False,How do I change my plan?,CUST9239,neutral,True,no_input
C0147,2025-04-28 12:17:49.365746,A125,Team_5,S11,Start>Account>Agent,113,False,True,I want to talk to a human,CUST2680,neutral,True,
C0148,2025-04-08 00:18:16.822271,A102,Team_2,S12,Start>Sales,585,True,False,How do I change my plan?,CUST2502,negative,True,ambiguous_query
C0149,2025-04-27 03:49:42.482639,A128,Team_3,S10,Start>Sales>Agent,114,False,True,My service is down,CUST7126,positive,True,
C0150,2025-04-17 21:45:30.077137,A107,Team_1,S12,Start>TechSupport>Agent,791,False,True,What is this extra charge?,CUST3254,positive,False,
C0151,2025-04-12 05:52:51.993861,A124,Team_4,S13,Start>Billing>Agent,141,True,True,I can't log in,CUST4533,negative,False,
C0152,2025-04-26 07:20:34.869696,A124,Team_3,S11,Start>Account>Agent,184,True,True,I want to update my account details,CUST7878,neutral,False,
C0153,2025-04-06 13:34:15.405784,A103,Team_4,S14,Start>Agent,76,True,True,What is this extra charge?,CUST5772,neutral,False,
C0154,2025-04-18 05:09:59.039432,A118,Team_4,S11,Start>TechSupport>Agent,596,False,True,My internet isn’t working,CUST9618,neutral,True,
C0155,2025-04-19 01:53:18.934726,A127,Team_4,S10,Start>Sales>Agent,442,False,True,I need help with my bill,CUST6850,neutral,False,
C0156,2025-04-25 16:09:19.478921,A123,Team_1,S14,Start>Account,196,True,False,I want to talk to a human,CUST9945,positive,True,ambiguous_query
C0157,2025-04-03 18:46:30.446492,A122,Team_4,S11,Start>Billing,124,False,False,I need help with my bill,CUST5807,positive,True,no_match
C0158,2025-04-21 18:10:43.040672,A110,Team_3,S14,Start>Sales>Agent,894,False,True,I can't log in,CUST1599,neutral,True,
C0159,2025-04-09 05:19:13.686733,A111,Team_1,S12,Start>Account>Agent,187,False,True,How do I change my plan?,CUST7553,neutral,False,
C0160,2025-04-21 13:42:56.602261,A105,Team_4,S13,Start>Account,876,False,False,My internet isn’t working,CUST7955,positive,True,
C0161,2025-04-05 16:39:09.658898,A109,Team_3,S10,Start>TechSupport>Agent,395,False,True,I can't log in,CUST8305,neutral,False,
C0162,2025-04-01 18:07:09.765193,A122,Team_4,S12,Start>Sales,103,False,False,Where is my refund?,CUST8126,positive,True,no_match
C0163,2025-04-28 04:26:47.930649,A121,Team_4,S12,Start>Agent,880,True,True,I need help with my bill,CUST3339,negative,False,
C0164,2025-04-19 16:00:00.719043,A104,Team_1,S11,Start>Account,430,False,False,Where is my refund?,CUST1530,neutral,False,complex_request
C0165,2025-04-18 10:32:30.863794,A111,Team_4,S10,Start>Billing,602,False,False,How do I change my plan?,CUST6150,neutral,True,no_match
C0166,2025-04-17 12:27:19.065647,A100,Team_2,S13,Start>Agent,456,True,True,I can't log in,CUST5264,neutral,True,
C0167,2025-04-11 15:24:21.603055,A122,Team_4,S11,Start>TechSupport>Agent,198,True,True,Can I cancel my service?,CUST3828,negative,False,
C0168,2025-04-04 19:18:57.701614,A125,Team_3,S12,Start>TechSupport>Agent,623,False,True,I can't log in,CUST3580,neutral,True,
C0169,2025-04-04 14:45:59.666492,A116,Team_2,S10,Start>TechSupport,871,True,False,I want to update my account details,CUST9094,positive,False,ambiguous_query
C0170,2025-04-19 19:08:47.114011,A125,Team_5,S11,Start>TechSupport>Agent,127,False,True,How do I change my plan?,CUST8842,neutral,False,
C0171,2025-04-09 03:15:20.761183,A104,Team_3,S10,Start>Sales,537,False,False,What is this extra charge?,CUST3981,neutral,True,ambiguous_query
C0172,2025-04-09 15:43:43.797888,A116,Team_1,S10,Start>Agent,216,False,True,What is this extra charge?,CUST3653,positive,True,
C0173,2025-04-17 19:55:43.265456,A116,Team_3,S10,Start>Account>Agent,261,False,True,What is this extra charge?,CUST5961,neutral,True,
C0174,2025-04-25 16:36:58.286746,A118,Team_5,S11,Start>Billing,734,False,False,Where is my refund?,CUST1674,negative,True,no_match
C0175,2025-04-02 20:07:52.429005,A101,Team_5,S12,Start>TechSupport,845,False,False,Where is my refund?,CUST1496,neutral,False,complex_request
C0176,2025-04-07 00:40:53.275379,A115,Team_2,S13,Start>Account>Agent,524,True,True,I need help with my bill,CUST3589,neutral,False,
C0177,2025-04-04 04:58:41.394857,A106,Team_3,S14,Start>Billing,380,False,False,I want to talk to a human,CUST7532,positive,False,
C0178,2025-04-30 18:01:20.215420,A117,Team_1,S12,Start>TechSupport,537,True,False,I can't log in,CUST8366,positive,True,no_match
C0179,2025-04-17 12:39:46.904507,A109,Team_4,S14,Start>Sales>Agent,314,True,True,I want to talk to a human,CUST6123,positive,True,
C0180,2025-04-25 08:29:37.763256,A116,Team_4,S13,Start>Account>Agent,569,True,True,My internet isn’t working,CUST7442,neutral,True,
C0181,2025-04-05 16:09:50.215437,A118,Team_3,S10,Start>Billing>Agent,348,False,True,Where is my refund?,CUST8710,positive,True,
C0182,2025-04-21 16:49:54.394742,A113,Team_2,S12,Start>Account,842,False,False,I want to talk to a human,CUST1741,neutral,True,complex_request
C0183,2025-04-09 00:45:30.257694,A117,Team_3,S10,Start>Sales>Agent,576,False,True,My service is down,CUST5582,negative,True,
C0184,2025-04-22 23:45:18.606788,A103,Team_4,S12,Start>Account,631,False,False,What is this extra charge?,CUST4261,neutral,False,
C0185,2025-04-21 07:43:59.032952,A101,Team_1,S10,Start>Billing,790,False,False,Can I cancel my service?,CUST9508,neutral,True,complex_request
C0186,2025-04-11 22:12:32.765085,A129,Team_5,S12,Start>Billing,462,False,False,Where is my refund?,CUST6511,neutral,False,
C0187,2025-04-21 04:15:18.204206,A109,Team_4,S10,Start>Account,399,True,False,How do I change my plan?,CUST6040,neutral,True,
C0188,2025-04-10 15:55:38.817779,A115,Team_3,S14,Start>TechSupport,798,True,False,Where is my refund?,CUST8871,positive,False,no_input
C0189,2025-04-09 05:11:45.198350,A126,Team_2,S10,Start>TechSupport>Agent,255,True,True,Can I cancel my service?,CUST6139,neutral,False,
C0190,2025-04-17 03:43:47.522575,A113,Team_5,S14,Start>Sales,813,True,False,What is this extra charge?,CUST9498,positive,False,ambiguous_query
C0191,2025-04-28 18:27:10.917693,A116,Team_4,S12,Start>Billing,530,False,False,My service is down,CUST6804,neutral,False,
C0192,2025-04-03 00:42:01.775639,A115,Team_2,S11,Start>Account>Agent,631,False,True,I want to update my account details,CUST5876,neutral,True,
C0193,2025-04-10 19:02:32.889262,A110,Team_4,S12,Start>Agent,874,False,True,I can't log in,CUST2996,neutral,False,
C0194,2025-04-05 04:58:12.875446,A126,Team_3,S11,Start>Account>Agent,103,False,True,My internet isn’t working,CUST6674,negative,False,
C0195,2025-04-02 11:23:31.492237,A106,Team_2,S14,Start>Account>Agent,635,False,True,What is this extra charge?,CUST2789,neutral,True,
C0196,2025-04-17 23:12:59.039261,A101,Team_5,S11,Start>TechSupport,113,True,False,How do I change my plan?,CUST6411,neutral,True,no_input
C0197,2025-04-04 09:38:36.224175,A100,Team_5,S11,Start>Sales>Agent,728,False,True,Can I cancel my service?,CUST4267,neutral,False,
C0198,2025-04-13 11:22:25.249008,A109,Team_1,S10,Start>TechSupport,607,True,False,What is this extra charge?,CUST7846,negative,True,no_match
C0199,2025-04-14 16:08:41.775280,A126,Team_4,S13,Start>Billing,826,False,False,I need help with my bill,CUST1151,positive,True,complex_request
C0200,2025-04-08 15:17:48.125223,A109,Team_4,S14,Start>Agent,565,True,True,My service is down,CUST8668,positive,True,
C0201,2025-04-04 13:04:50.204220,A105,Team_4,S12,Start>Billing,74,False,False,I can't log in,CUST4164,positive,False,ambiguous_query
C0202,2025-04-16 20:19:48.630680,A116,Team_3,S10,Start>Sales>Agent,745,True,True,What is this extra charge?,CUST3303,neutral,True,
